ACTI	AC	MBEP	CR	IC	IS	MBEA	EXTRA	SATLD	JOBSAT	GOAL	RETENT	QUIT	ACS	ALT.W	ALT.NW	ALT.P
0.5	1.5	4.29	1	2.11	1.3	4.14	0	0	5	5	3.5	5	5	5	5	5
0.63	2.75	3.43	1	1.11	1.6	2.43	0	0.5	4	3.83	3.5	2	2.5	3.75	4	3
3.21	4.63	1.43	3	4.56	4.6	3.14	3.33	4	5	4.17	3.5	1.17	1	4	4	4
2.82	4	2	3.11	4.22	3.9	3.43	3	3.5	5	4.67	4	1.17	3	4.75	3	4
2.82	4	2.29	3.11	4.22	3.9	3.43	3	3.5	5	4.67	4	1.17	3	4.75	3	4
2.6	3.88	1.71	3	3.78	3.8	3.71	1.33	3	4	3.67	2.5	2.17	2.75	4.75	3.75	4.25
2.79	4.25	1.57	3.56	3.78	3.6	3	2.67	4	4	4.17	3.75	1	1	4.75	2.5	4.25
3.18	4.25	2	3.78	4.22	4.4	4.14	2.33	4	4	4	2.75	1.17	1.75	3.5	4	4
2.65	3.75	1.57	2.22	4.22	4.3	3.57	3.67	4	5	4.5	3.5	1	4	5	3.25	4.5
2.01	3.88	2	1.56	3.67	2.8	3.14	2.67	3	4	2.17	2.75	2	2	4.5	3	4
3.61	4.88	1.57	3.89	4.67	5	2.43	2.67	4	5	4.17	4.25	1	4	4.75	3.75	3.75
3.64	4.63	1.29	4.33	4.89	4.7	3.57	4	4	4	4.17	3.75	1	4	5	5	4.5
1.99	3.38	2.43	2.67	2.56	3.3	3.86	1.33	3	4	4.17	4.5	2.83	2.25	5	3.5	4.5
3.03	4.5	1.14	2.67	4.67	4.3	2.29	3.67	4	5	4.5	4.25	1	1	4.25	4	4
1.83	3.75	3	2.22	2.89	2.4	3.29	2.67	4	5	4.33	2.75	1	5	5	5	5
1.44	2.88	2.86	2.56	2.56	1.9	1.14	1	0.5	5	2.25	#NUL!	#NUL!	#NUL!	#NUL!	#NUL!	#NUL!
0.49	1.38	4.14	1.56	1.44	1.6	3	0.33	1	4	3.33	1.5	5	1	2.25	2.75	3.75
3.69	5	1.86	5	5	3.9	3	4	4	5	4.5	4.25	1	3	4.5	4.5	4.25
0.99	1.75	3.29	1.44	1.89	2.8	3.71	1.33	0	2	3.33	2.5	1	4.75	5	5	5
1.52	2.13	3.86	2.22	2.89	2.8	2.43	1.33	1.5	4	2.67	1.75	2.33	3.25	4.75	3	4
2.72	4.13	2	3.44	3.78	3.4	2.29	3.67	3	4	4.67	3	1.33	1.5	5	4.75	4.75
2.37	3.75	1.71	1.67	3.89	4.1	3.57	3.67	4	5	4.5	4.75	1	3.5	5	4.5	5
2.76	4.13	1.86	2.78	4	4.1	3.57	4	3.5	4	3.83	3	1	3	4.25	3.5	3.5
0.77	2.13	4	1.78	1.89	1.3	3.29	0.33	0	2	1.83	1	3.67	1.25	5	3.5	4.75
2.6	4	1.71	3.11	3.89	3.3	3.57	2.33	3	4	5	4.25	1	4.75	5	5	4.75
2.12	3.5	2.29	2.78	3.33	2.8	3.71	1.67	3	4	4.33	4.75	1	4	4.75	4.5	4
2.06	3.38	2.29	2	3.22	3.6	2.43	1.67	3	4	3.5	3	1.17	1.5	2.75	3.25	3.5
1.41	2	3.43	2.22	2.78	2.6	2.71	1.67	0.5	2	2.67	2.25	2	3	5	4.75	3.5
2.4	4	2	3.22	3.11	3.2	3	2.33	3	4	3.67	3	2.5	2	4	2	4.75
0.9	2.38	2.43	1	1.56	2.6	3	1	3	4	4	2.75	1.17	4.5	5	5	5
1.49	2.25	2.86	2.11	3.11	2.5	2.43	2.33	1	4	4	#NUL!	#NUL!	#NUL!	5	4.33	5
1.97	3.38	2.71	2.11	3.44	3	3	1	2	4	4	4	1	3.75	4	4.5	3.5
1.96	3.5	1.43	2.33	2.67	3.2	2.86	0	2	5	3	3.75	1.33	1.75	4.75	3.25	4.5
2.63	4	2	2.44	4.33	3.7	4.14	3.33	3	4	4.33	5	2	2.75	4.75	5	4.25
1.53	3	2.43	1.22	3.44	2.5	2	2	3	5	3.67	3	1	2.75	4.75	4.25	4.5
1.05	2.75	3.14	1.33	1.33	2.8	4.29	0.33	3	4	4.83	3.5	1	5	5	5	5
1.65	2.63	2.43	1.78	2.89	3.2	2.29	0.67	0	1	3.5	1.75	3.67	2.25	3.75	3	4
1.1	2.5	3.57	1.56	1.67	2.7	3.57	0	2	5	3.6	3.5	1.17	1	5	4.75	5
2.02	2.88	1.86	2.22	3.33	3.6	3.29	3	3.5	5	4.83	4.75	1	4.25	5	4	4.5
0.76	2	2.14	1.11	1.67	2.2	3	0	1	4	3.67	2	3.33	2	4	2.25	4.5
3.04	3.75	1.14	3.44	4.44	4.4	2.43	3	3.5	4	3.5	1	1	3.5	4.25	4	3
2.03	3.63	1.86	2.78	2.78	2.9	3.43	1	3	4	4.17	4.5	1	3.75	4.25	4.5	4
3.37	4.25	1.86	3.78	4.67	4.7	3.57	3.33	4	4	4.5	3.33	1	3	5	3.75	4.25
2.13	3.38	3.29	2.44	3.33	3.3	2.43	3	3	4	4	2.75	2.5	1.5	5	5	4.5
0.78	1.63	4	1.33	2.22	1.9	4.14	0.33	0	4	4.67	4.5	1	4.75	4.75	5	5
3.22	4	2	3.89	4.44	4.5	4	3.67	4	5	4.67	4.75	1	4.25	5	3.75	4.25
3.19	4.38	1.43	4.33	4.33	3.7	3.43	3	4	5	3.83	4	1	3	5	5	4.25
1.64	3	4.14	2.33	2.56	2.7	2.43	1.67	0	4	4.17	4.5	1	3.5	5	4.5	5
1.64	3	4.14	2.33	2.56	2.7	2.43	1.67	0	4	4.17	4.5	1	3.5	5	4.5	5
1.55	2.88	2	2.22	2	2.8	4.43	0	3.5	4	4.17	4	1	4	5	4.75	5
2.07	3.38	2.43	2.67	2.89	3.3	3.57	1.33	2	5	2.67	2.25	1	3.25	4.25	4.25	4.5
2.33	3.13	2	2.44	3.89	3.8	2.43	1.67	2	4	3.83	3.25	1	2.75	3.5	3.75	4
2.09	3	2.29	2.67	3.33	3.3	3	2.33	2	4	3.83	2.5	1.17	2.75	4.25	4.5	3.75
1.3	2.25	3	1.89	2.33	2.7	1.71	0.33	1	4	3.33	3	1	3	3.5	2.75	3
1.41	3	2.86	1.67	2.44	2.5	3.43	0.67	2.5	4	4.17	3.75	1.33	2.5	4	3.75	3.75
0.87	1.88	3.71	1.67	1.78	2.2	2	0.67	1	4	3.17	2.5	2.33	1.75	4	4	3.5
2.81	3.75	2	3.22	4.56	3.7	3.86	3.33	3	5	4.83	4.25	1.17	4.5	5	4.5	4.75
2.66	3.88	1.71	3.33	3.67	3.7	4.29	3	3	5	4.33	3.25	1.33	4.5	4.5	4.25	4.25
2.28	3.38	2.43	2.44	3.78	3.5	3.29	2	3	5	4.17	3.25	1.17	3.5	4.5	4	4.25
1.03	1.75	4.43	2.11	2.33	2	3.71	0.67	0	4	2.5	1.25	2.5	3.75	3.75	3.5	2.75
2.98	4.5	2.14	2.56	4.33	4.5	4.14	3.33	4	5	4.83	4.5	1	3	4.75	4.75	4.5
2.89	4.5	2.29	3.22	4	3.8	3.29	2.67	3	5	4.33	3.5	1	2	4	4.5	4
1.26	2.88	3.43	2.11	2.11	2	2	1.67	1	5	4	4	1	4	4	3.5	4.75
2.58	3.75	1.71	3.11	3.89	3.5	4	3	3	5	4.17	3.5	1	1	5	4.75	4.5
3.17	4.25	1.29	3.78	4.67	3.9	2.86	3.33	3.5	5	4	4	1.17	2	4.75	4.5	4.5
1.17	2.5	3.71	1.33	2.11	2.7	4	1.67	1	4	3.33	2.25	2.5	1	4.25	4	3.5
1.01	2.63	4	1.44	2.22	1.8	2.71	0.67	0.5	4	3.83	2.75	1	4	4.75	4.5	4
2.41	3.5	2.43	2.89	3.78	3.4	4	3	4	5	4.33	4.75	2	2.75	5	5	4.75
1.21	3	3	1.89	1.89	2	2.86	0.67	2.5	5	4.33	3	3	4.25	4.75	4	4.25
2.54	3.88	2.14	2.89	3.56	3.8	2.71	3	2	3	3.33	3.5	1	4	3.75	3.75	4.25
2.69	4.75	2.43	2.56	3.78	3.7	3.71	4	3.5	5	4.33	3.5	1	3.25	4.5	3	4.75
1.14	2.38	3.71	2.33	2.11	1.8	4.29	0.67	1	5	4	2.25	4.67	1.25	5	5	4.75
1.7	2.75	3.71	2	3.44	2.6	2	1	1	5	4.33	4	3	1.5	5	3.75	4.5
2.22	3.63	1.43	2.89	3.11	3.3	3	2	3	5	4	4	1	3	4.5	3.25	4
1.67	4.25	2.57	1.44	3.22	1.7	1.57	2.67	4	5	3.67	3.5	1	1	4.75	3.25	4.5
1.23	2.25	3.43	1.89	2.33	2.4	2.57	1	1	4	3.33	2.5	1.17	2	4	3.25	4
2.15	3	2	2.78	3.67	3.2	3	2.33	3	4	4.33	3.5	1.33	3.25	5	2.5	3.5
2.99	3.63	2.43	3.56	4.56	4.2	3.43	3	2	4	5	4	1	3.5	4.5	4.5	3.75
1.67	2.75	3	2.78	2.56	2.5	3.57	1.67	2	4	4	3	1	4	4.5	4	4
2.95	4.5	1.43	3.11	4.44	3.7	2.71	3.33	3.5	4	4.33	3.5	1	2	5	4.25	4
2.45	3.5	2.86	3.33	3.78	3.2	3.43	3	3	5	3.83	3.25	1	3	3.75	3.75	4
0.26	1	3.43	1.33	1.44	1.3	1.57	0	0	#NUL!	3.83	4	2.67	2	4	4	4.5
3.51	4.75	1.71	4.11	4.56	4.6	4	4	4	4	4.17	4	1	4.5	5	4.75	4.75
3.58	4.25	1.43	4.78	4.33	4.9	3.86	2.33	4	4	4.83	4.75	1	3.5	4.75	4.25	4.5
